energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-4.83541771,9.81844944,0.02475211,1.42157587,2.54243386,5.08176091,1.31177184,0.90809246,0.05773234,2.72327716
-4.82941471,9.80971785,0.02522782,1.41450807,2.54067186,5.06452650,1.30994765,0.92284235,0.05790482,2.73334532
-4.82341171,9.79736147,0.02573057,1.40669969,2.53877611,5.04453290,1.30833686,0.93678860,0.05807745,2.74261736
-4.81740870,9.78146124,0.02625588,1.39830521,2.53715006,5.02178464,1.30695633,0.94981500,0.05824517,2.75092206
-4.81140570,9.76222362,0.02679907,1.38951272,2.53622265,4.99638609,1.30579816,0.96181803,0.05840346,2.75808710
-4.80540270,9.73999078,0.02735521,1.38054196,2.53644050,4.96855091,1.30483180,0.97270760,0.05854838,2.76394438
-4.79939970,9.71524059,0.02791922,1.37164009,2.53825745,4.93860444,1.30400663,0.98240720,0.05867650,2.76833458
-4.79339670,9.68857626,0.02848581,1.36307531,2.54212177,4.90697885,1.30325465,0.99085361,0.05878483,2.77111071
-4.78739370,9.66070636,0.02904959,1.35512852,2.54846160,4.87420128,1.30249342,0.99799632,0.05887071,2.77214099
-4.78139070,9.63241640,0.02960501,1.34808342,2.55766895,4.84087564,1.30162910,1.00379672,0.05893166,2.77131103
-4.77538769,9.60453388,0.03014644,1.34221549,2.57008337,4.80765895,1.30055958,1.00822735,0.05896531,2.76852553
-4.76938469,9.57788901,0.03066825,1.33778037,2.58597586,4.77523376,1.29917763,1.01127123,0.05896924,2.76370968
-4.76338169,9.55327344,0.03116481,1.33500229,2.60553403,4.74427812,1.29737418,1.01292134,0.05894094,2.75681049
-4.75737869,9.53139970,0.03163061,1.33406320,2.62884934,4.71543474,1.29504155,1.01318045,0.05887771,2.74779804
-4.75137569,9.51286358,0.03206034,1.33509305,2.65590719,4.68928117,1.29207677,1.01206121,0.05877669,2.73666686
-4.74537269,9.49811177,0.03244897,1.33816185,2.68658053,4.66630256,1.28838476,1.00958655,0.05863483,2.72343733
-4.73936968,9.48741643,0.03279186,1.34327398,2.72062740,4.64686838,1.28388162,1.00579025,0.05844903,2.70815716
-4.73336668,9.48085805,0.03308485,1.35036491,2.75769276,4.63121432,1.27849760,1.00071775,0.05821616,2.69090271
-4.72736368,9.47831736,0.03332434,1.35930070,2.79731458,4.61943027,1.27218005,0.99442695,0.05793323,2.67178015
-4.72136068,9.47947658,0.03350736,1.36988015,2.83893396,4.61145477,1.26489597,0.98698900,0.05759750,2.65092616
-4.71535768,9.48382964,0.03363165,1.38183963,2.88190910,4.60707609,1.25663428,0.97848883,0.05720664,2.62850804
-4.70935468,9.49070062,0.03369565,1.39486029,2.92553224,4.60593985,1.24740765,0.96902548,0.05675886,2.60472313
-4.70335168,9.49926934,0.03369856,1.40857735,2.96904912,4.60756240,1.23725378,0.95871199,0.05625304,2.57979731
-4.69734867,9.50860256,0.03364030,1.42259109,3.01168003,4.61134947,1.22623613,0.94767489,0.05568881,2.55398250
-4.69134567,9.51768924,0.03352149,1.43647893,3.05264161,4.61661893,1.21444401,0.93605312,0.05506662,2.52755327
-4.68534267,9.52547819,0.03334338,1.44980825,3.09116855,4.62262654,1.20199199,0.92399649,0.05438781,2.50080244
