energy_ev,total_up,Bi_p_up,Bi_d_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up
-2.87843922,0.94334515,0.44330024,0.00490244,0.51670768,0.36555661,0.00516523,0.15881572
-2.87243622,0.97384367,0.45822571,0.00519598,0.49946320,0.38563296,0.00528033,0.15751996
-2.86643322,1.00723092,0.47447217,0.00549035,0.48695268,0.40623212,0.00538314,0.15757080
-2.86043022,1.04268033,0.49164085,0.00578171,0.47874648,0.42701649,0.00547120,0.15883227
-2.85442721,1.07933747,0.50931778,0.00606613,0.47437194,0.44764096,0.00554280,0.16115775
-2.84842421,1.11634342,0.52708449,0.00633973,0.47333411,0.46776039,0.00559712,0.16439623
-2.84242121,1.15285845,0.54452878,0.00659868,0.47513588,0.48703741,0.00563433,0.16839852
-2.83641821,1.18808536,0.56125556,0.00683933,0.47929712,0.50515048,0.00565574,0.17302345
-2.83041521,1.22129200,0.57689723,0.00705824,0.48537222,0.52180202,0.00566381,0.17814372
-2.82441221,1.25183220,0.59112355,0.00725232,0.49296573,0.53672615,0.00566222,0.18365127
-2.81840920,1.27916463,0.60365050,0.00741882,0.50174568,0.54969615,0.00565582,0.18946211
-2.81240620,1.30286899,0.61424816,0.00755547,0.51145414,0.56053101,0.00565062,0.19552014
-2.80640320,1.32265881,0.62274701,0.00766049,0.52191493,0.56910108,0.00565366,0.20180015
-2.80040020,1.33839045,0.62904264,0.00773267,0.53303794,0.57533237,0.00567289,0.20830948
-2.79439720,1.35006775,0.63309862,0.00777139,0.54482008,0.57920938,0.00571702,0.21508841
-2.78839420,1.35784187,0.63494719,0.00777668,0.55734259,0.58077622,0.00579526,0.22220913
-2.78239120,1.36200615,0.63468781,0.00774919,0.57076471,0.58013580,0.00591714,0.22977307
-2.77638819,1.36298565,0.63248346,0.00769024,0.58531365,0.57744708,0.00609218,0.23790678
-2.77038519,1.36132167,0.62855456,0.00760172,0.60127115,0.57292029,0.00632961,0.24675614
-2.76438219,1.35765119,0.62317082,0.00748615,0.61895677,0.56681022,0.00663807,0.25647926
-2.75837919,1.35268197,0.61664104,0.00734654,0.63870854,0.55940768,0.00702524,0.26723806
-2.75237619,1.34716381,0.60930122,0.00718633,0.66086136,0.55102937,0.00749756,0.27918886
-2.74637319,1.34185704,0.60150135,0.00700932,0.68572412,0.54200656,0.00805983,0.29247228
-2.74037019,1.33749926,0.59359136,0.00681953,0.71355618,0.53267287,0.00871497,0.30720298
-2.73436718,1.33477172,0.58590672,0.00662107,0.74454449,0.52335171,0.00946371,0.32345950
