energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-4.83541771,4.43940803,0.48205995,3.54282753,0.02323131,0.07716317,0.25508136,0.21166490,0.05310971,0.60617271
-4.82941471,4.32997469,0.46912256,3.45716578,0.02321837,0.07370703,0.24775868,0.20511129,0.05304076,0.58930886
-4.82341171,4.22403721,0.45693278,3.37341434,0.02318500,0.07045440,0.24098681,0.19905586,0.05291295,0.57352390
-4.81740870,4.12213134,0.44542185,3.29215357,0.02312841,0.06741662,0.23472374,0.19353679,0.05271281,0.55881616
-4.81140570,4.02483307,0.43451985,3.21400213,0.02304716,0.06460218,0.22892639,0.18859040,0.05243031,0.54518315
-4.80540270,3.93273873,0.42415750,3.13959763,0.02294114,0.06201670,0.22355183,0.18424956,0.05205900,0.53262021
-4.79939970,3.84644450,0.41426817,3.06957669,0.02281156,0.05966308,0.21855846,0.18054208,0.05159603,0.52111937
-4.79339670,3.76652659,0.40478992,3.00455542,0.02266084,0.05754166,0.21390715,0.17748922,0.05104205,0.51066824
-4.78739370,3.69352324,0.39566763,2.94511174,0.02249253,0.05565048,0.20956232,0.17510444,0.05040111,0.50124945
-4.78139070,3.62791990,0.38685518,2.89177025,0.02231117,0.05398563,0.20549293,0.17339240,0.04968037,0.49284035
-4.77538769,3.57013808,0.37831764,2.84499055,0.02212218,0.05254164,0.20167335,0.17234827,0.04888977,0.48541321
-4.76938469,3.52052852,0.37003322,2.80515958,0.02193173,0.05131192,0.19808417,0.17195744,0.04804170,0.47893589
-4.76338169,3.47936882,0.36199508,2.77258791,0.02174659,0.05028928,0.19471288,0.17219562,0.04715055,0.47337290
-4.75737869,3.44686536,0.35421278,2.74751028,0.02157397,0.04946646,0.19155433,0.17302927,0.04623221,0.46868680
-4.75137569,3.42315912,0.34671320,2.73008977,0.02142143,0.04883658,0.18861104,0.17441650,0.04530363,0.46483984
-4.74537269,3.40833462,0.33954104,2.72042518,0.02129663,0.04839366,0.18589341,0.17630822,0.04438226,0.46179580
-4.73936968,3.40243130,0.33275853,2.71856086,0.02120729,0.04813307,0.18341955,0.17864976,0.04348562,0.45952183
-4.73336668,3.40545618,0.32644464,2.72449815,0.02116093,0.04805191,0.18121505,0.18138256,0.04263077,0.45799020
-4.72736368,3.41739696,0.32069346,2.73820745,0.02116479,0.04814924,0.17931253,0.18444623,0.04183387,0.45717996
-4.72136068,3.43823436,0.31561198,2.75964008,0.02122563,0.04842638,0.17775090,0.18778058,0.04110979,0.45707826
-4.71535768,3.46795306,0.31131719,2.78873910,0.02134962,0.04888689,0.17657459,0.19132788,0.04047175,0.45768140
-4.70935468,3.50655031,0.30793276,2.82544826,0.02154221,0.04953663,0.17583257,0.19503488,0.03993104,0.45899543
-4.70335168,3.55404163,0.30558518,2.86971863,0.02180798,0.05038360,0.17557726,0.19885487,0.03949677,0.46103647
-4.69734867,3.61046344,0.30439970,2.92151255,0.02215058,0.05143771,0.17586345,0.20274942,0.03917577,0.46383044
-4.69134567,3.67587216,0.30449617,2.98080454,0.02257270,0.05271044,0.17674716,0.20668992,0.03897244,0.46741255
-4.68534267,3.75034021,0.30598489,3.04757949,0.02307598,0.05421442,0.17828446,0.21065869,0.03888878,0.47182628
