energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-4.58929465,1.82165312,0.11832901,0.00136304,0.01404760,0.01596809,0.89044464,0.35649602,0.83737586
-4.58329165,1.82737427,0.11725331,0.00142760,0.01432096,0.01748211,0.90800216,0.35863014,0.82633379
-4.57728864,1.82970201,0.11578195,0.00150436,0.01465531,0.01905786,0.92461356,0.35967429,0.81288232
-4.57128564,1.82879162,0.11391915,0.00159125,0.01504374,0.02067983,0.94021208,0.35966114,0.79725740
-4.56528264,1.82489310,0.11167857,0.00168606,0.01547794,0.02232976,0.95476794,0.35864524,0.77975407
-4.55927964,1.81833421,0.10908216,0.00178645,0.01594841,0.02398685,0.96828431,0.35669943,0.76071436
-4.55327664,1.80950197,0.10615866,0.00188999,0.01644457,0.02562806,0.98079251,0.35391067,0.74051435
-4.54727364,1.79882361,0.10294206,0.00199420,0.01695506,0.02722863,0.99234659,0.35037579,0.71955078
-4.54127064,1.78674781,0.09947001,0.00209659,0.01746794,0.02876256,1.00301785,0.34619715,0.69822789
-4.53526763,1.77372701,0.09578221,0.00219467,0.01797104,0.03020336,1.01288943,0.34147861,0.67694489
-4.52926463,1.76020147,0.09191903,0.00228608,0.01845224,0.03152472,1.02205106,0.33632186,0.65608445
