energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Ir_p_up,Ir_d_up,S_s_up,S_p_up
-4.89544772,11.90269140,0.04923010,0.59776982,1.45004844,1.49558119,2.08370787,3.89329347,0.06925340,4.89129813
-4.88944472,11.65348596,0.04850674,0.58684478,1.42042205,1.44426882,2.04404020,3.84582760,0.06547556,4.77011026
-4.88344172,11.38910908,0.04766505,0.57478201,1.38698271,1.39339949,2.00184775,3.79190265,0.06171926,4.64315587
-4.87743872,11.11034959,0.04670563,0.56172079,1.34995822,1.34322492,1.95728258,3.73139815,0.05801107,4.51093090
-4.87143572,10.81837315,0.04563060,0.54782979,1.30965804,1.29396552,1.91060736,3.66441139,0.05437528,4.37402443
-4.86543272,10.51472747,0.04444377,0.53330210,1.26646577,1.24581263,1.86218449,3.59126739,0.05083380,4.23311924
-4.85942971,10.20132755,0.04315073,0.51834938,1.22082905,1.19893072,1.81246073,3.51251787,0.04740604,4.08898718
-4.85342671,9.88042092,0.04175884,0.50319507,1.17324704,1.15345925,1.76194790,3.42892886,0.04410891,3.94247919
-4.84742371,9.55453357,0.04027716,0.48806720,1.12425593,1.10951421,1.71120066,3.34145755,0.04095678,3.79450996
-4.84142071,9.22639881,0.03871628,0.47319087,1.07441318,1.06718900,1.66079234,3.25121928,0.03796149,3.64603778
-4.83541771,8.89887235,0.03708806,0.45878080,1.02428079,1.02655478,1.61128999,3.15944622,0.03513240,3.49804043
-4.82941471,8.57483770,0.03540539,0.44503420,0.97440859,0.98766036,1.56322978,3.06743996,0.03247641,3.35148836
-4.82341171,8.25710660,0.03368182,0.43212424,0.92531796,0.95053172,1.51709406,2.97652007,0.02999804,3.20731641
-4.81740870,7.94831965,0.03193123,0.42019439,0.87748682,0.91517146,1.47329086,2.88797137,0.02769949,3.06639573
-4.81140570,7.65085226,0.03016746,0.40935385,0.83133644,0.88155837,1.43213708,2.80299238,0.02558078,2.92950741
-4.80540270,7.36673047,0.02840398,0.39967419,0.78722055,0.84964724,1.39384578,2.72264748,0.02363978,2.79731926
-4.79939970,7.09756115,0.02665359,0.39118740,0.74541727,0.81936928,1.35851834,2.64782485,0.02187242,2.67036701
-4.79339670,6.84447964,0.02492815,0.38388532,0.70612414,0.79063325,1.32614166,2.57920222,0.02027282,2.54904100
-4.78739370,6.60811740,0.02323841,0.37772052,0.66945627,0.76332725,1.29659038,2.51722180,0.01883345,2.43357900
-4.78139070,6.38859075,0.02159379,0.37260858,0.63544782,0.73732147,1.26963391,2.46207528,0.01754534,2.32406547
-4.77538769,6.18551095,0.02000238,0.36843156,0.60405642,0.71247155,1.24494791,2.41369942,0.01639831,2.22043722
-4.76938469,5.99801466,0.01847085,0.36504261,0.57517043,0.68862275,1.22212942,2.37178212,0.01538121,2.12249506
-4.76338169,5.82481275,0.01700449,0.36227153,0.54861852,0.66561455,1.20071497,2.33577835,0.01448214,2.02992078
-4.75737869,5.66425484,0.01560729,0.35993091,0.52418112,0.64328554,1.18020062,2.30493508,0.01368873,1.94229830
-4.75137569,5.51440614,0.01428204,0.35782278,0.50160305,0.62147849,1.16006318,2.27832377,0.01298842,1.85913803
-4.74537269,5.37313290,0.01303042,0.35574536,0.48060691,0.60004528,1.13978135,2.25487900,0.01236866,1.77990308
-4.73936968,5.23819246,0.01185321,0.35349983,0.46090644,0.57885146,1.11885612,2.23344124,0.01181724,1.70403600
-4.73336668,5.10732403,0.01075037,0.35089665,0.44221940,0.55778033,1.09682943,2.21280226,0.01132247,1.63098485
-4.72736368,4.97833664,0.00972122,0.34776150,0.42427933,0.53673642,1.07330051,2.19175097,0.01087340,1.56022761
-4.72136068,4.84919078,0.00876458,0.34394036,0.40684588,0.51564814,1.04793915,2.16911835,0.01046004,1.49129369
-4.71535768,4.71807124,0.00787888,0.33930386,0.38971332,0.49446968,1.02049573,2.14381952,0.01007352,1.42378227
-4.70935468,4.58344884,0.00706230,0.33375055,0.37271695,0.47318209,0.99080776,2.11489182,0.00970623,1.35737653
-4.70335168,4.44412963,0.00631281,0.32720928,0.35573743,0.45179357,0.95880270,2.08152764,0.00935189,1.29185400
-4.69734867,4.29929073,0.00562832,0.31964040,0.33870297,0.43033906,0.92449755,2.04310114,0.00900568,1.22709264
-4.69134567,4.14850264,0.00500671,0.31103606,0.32158942,0.40887927,0.88799516,1.99918840,0.00866426,1.16307310
-4.68534267,3.99173838,0.00444586,0.30141948,0.30441869,0.38749914,0.84947785,1.94958047,0.00832579,1.09987760
-4.67933967,3.82937039,0.00394375,0.29084336,0.28725551,0.36630607,0.80919884,1.89428961,0.00798989,1.03768564
